"source","target","periodical.id","periodical.name","periodical.name.transliterated","date.onset","edge.id","edge.type"
"2858","632","45","العصر الجديد","al-ʿAṣr al-Jadīd","1909-10-05","","editor"
"2858","825","45","العصر الجديد","al-ʿAṣr al-Jadīd","1909-10-05","","editor"
"2858","4114","45","العصر الجديد","al-ʿAṣr al-Jadīd","1909-10-05","","editor"
"632","825","45","العصر الجديد","al-ʿAṣr al-Jadīd","1909-10-05","","editor"
"632","4114","45","العصر الجديد","al-ʿAṣr al-Jadīd","1909-10-05","","editor"
"825","4114","45","العصر الجديد","al-ʿAṣr al-Jadīd","1909-10-05","","editor"
"390","4190","47","الكلية","al-Kulliyya","1910-02-01","","editor"
"3707","4199","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"3707","4108","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"3707","4129","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"3707","2958","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"3707","3926","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"3707","4179","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"3707","878","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"4199","4108","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"4199","4129","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"4199","2958","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"4199","3926","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"4199","4179","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"4199","878","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"4108","4129","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"4108","2958","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"4108","3926","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"4108","4179","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"4108","878","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"4129","2958","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"4129","3926","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"4129","4179","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"4129","878","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"2958","3926","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"2958","4179","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"2958","878","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"3926","4179","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"3926","878","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"4179","878","25","المؤيد","al-Muʾayyad","1889-12-01","","editor"
"459","606","20","المفيد","al-Mufīd","1909-","","editor"
"459","4162","20","المفيد","al-Mufīd","1909-","","editor"
"459","4095","20","المفيد","al-Mufīd","1909-","","editor"
"606","4162","20","المفيد","al-Mufīd","1909-","","editor"
"606","4095","20","المفيد","al-Mufīd","1909-","","editor"
"4162","4095","20","المفيد","al-Mufīd","1909-","","editor"
"936","767","48","الوطن","al-Waṭan","1908-","","editor"
"936","4197","48","الوطن","al-Waṭan","1908-","","editor"
"936","4122","48","الوطن","al-Waṭan","1908-","","editor"
"767","4197","48","الوطن","al-Waṭan","1908-","","editor"
"767","4122","48","الوطن","al-Waṭan","1908-","","editor"
"4197","4122","48","الوطن","al-Waṭan","1908-","","editor"
"4182","4103","61","الوطن","al-Waṭan","1877-","","editor"
"4182","4133","61","الوطن","al-Waṭan","1877-","","editor"
"4103","4133","61","الوطن","al-Waṭan","1877-","","editor"
"4094","4093","55","الأهرام","al-Ahrām","5 August 1876 - 1898","","editor"
"4094","4187","55","الأهرام","al-Ahrām","5 August 1876 - 1898","","editor"
"4094","4141","55","الأهرام","al-Ahrām","5 August 1876 - 1898","","editor"
"4094","4186","55","الأهرام","al-Ahrām","5 August 1876 - 1898","","editor"
"4093","4187","55","الأهرام","al-Ahrām","5 August 1876 - 1898","","editor"
"4093","4141","55","الأهرام","al-Ahrām","5 August 1876 - 1898","","editor"
"4093","4186","55","الأهرام","al-Ahrām","5 August 1876 - 1898","","editor"
"4187","4141","55","الأهرام","al-Ahrām","5 August 1876 - 1898","","editor"
"4187","4186","55","الأهرام","al-Ahrām","5 August 1876 - 1898","","editor"
"4141","4186","55","الأهرام","al-Ahrām","5 August 1876 - 1898","","editor"
"4093","1673","56","الأهرام","al-Ahrām","1898-","","editor"
"4093","635","56","الأهرام","al-Ahrām","1898-","","editor"
"4093","1673","56","الأهرام","al-Ahrām","1898-","","editor"
"4093","931","56","الأهرام","al-Ahrām","1898-","","editor"
"1673","635","56","الأهرام","al-Ahrām","1898-","","editor"
"1673","1673","56","الأهرام","al-Ahrām","1898-","","editor"
"1673","931","56","الأهرام","al-Ahrām","1898-","","editor"
"635","1673","56","الأهرام","al-Ahrām","1898-","","editor"
"635","931","56","الأهرام","al-Ahrām","1898-","","editor"
"1673","931","56","الأهرام","al-Ahrām","1898-","","editor"
"487","787","62","ثمرات الفنون","Thamarāt al-Funūn","1875-04-20","","editor"
"4160","1153","518","الصفاء","الصفاء","","","editor"
"504","724","519","المهذب","المهذب","","","editor"
"4121","4116","522","الرابطة","الرابطة","1911-01-01","","editor"
"4146","4106","537","تفكر","تفكر","1912-02-21","","editor"
"4112","4155","551","مجلة المنتدى الأدبي","مجلة المنتدى الأدبي","","","editor"
"2606","4163","555","الجديد","الجديد","","","editor"
"4185","1803","556","البيرق","البيرق","","","editor"
"4138","4144","79","الأحوال","الأحوال","","","editor"
"4138","4147","79","الأحوال","الأحوال","","","editor"
"4144","4147","79","الأحوال","الأحوال","","","editor"
"1673","4105","80","الأخبار","الأخبار","","","editor"
"1673","4097","80","الأخبار","الأخبار","","","editor"
"4105","4097","80","الأخبار","الأخبار","","","editor"
"4126","4130","91","الإخاء","الإخاء","1910-09-20","","editor"
"787","1153","95","الإصلاح","الإصلاح","","","editor"
"787","4144","95","الإصلاح","الإصلاح","","","editor"
"1153","4144","95","الإصلاح","الإصلاح","","","editor"
"288","391","96","الإقبال","al-Iqbāl","1902-1912","","editor"
"1159","d6e9297","118","البشير","البشير","","","editor"
"1159","933","118","البشير","البشير","","","editor"
"1159","4195","118","البشير","البشير","","","editor"
"1159","4099","118","البشير","البشير","","","editor"
"d6e9297","933","118","البشير","البشير","","","editor"
"d6e9297","4195","118","البشير","البشير","","","editor"
"d6e9297","4099","118","البشير","البشير","","","editor"
"933","4195","118","البشير","البشير","","","editor"
"933","4099","118","البشير","البشير","","","editor"
"4195","4099","118","البشير","البشير","","","editor"
"703","379","466","الثبات","الثبات","","","editor"
"703","4139","466","الثبات","الثبات","","","editor"
"379","4139","466","الثبات","الثبات","","","editor"
"1678","1236","143","الحرية","الحرية","1909-09-25","","editor"
"1678","1113","143","الحرية","الحرية","1909-09-25","","editor"
"1678","688","143","الحرية","الحرية","1909-09-25","","editor"
"1678","579","143","الحرية","الحرية","1909-09-25","","editor"
"1236","1113","143","الحرية","الحرية","1909-09-25","","editor"
"1236","688","143","الحرية","الحرية","1909-09-25","","editor"
"1236","579","143","الحرية","الحرية","1909-09-25","","editor"
"1113","688","143","الحرية","الحرية","1909-09-25","","editor"
"1113","579","143","الحرية","الحرية","1909-09-25","","editor"
"688","579","143","الحرية","الحرية","1909-09-25","","editor"
"4159","713","167","الزمان","الزمان","1892","","editor"
"4191","4176","169","الزهرة","الزهرة","","","editor"
"963","4180","179","الشام","الشام","","","editor"
"963","878","179","الشام","الشام","","","editor"
"4180","878","179","الشام","الشام","","","editor"
"4123","3535","183","الشرق","الشرق","1916","","editor"
"4123","878","183","الشرق","الشرق","1916","","editor"
"3535","878","183","الشرق","الشرق","1916","","editor"
"4310","1537","186","الشمس","الشمس","June 1900","","editor"
"706","4140","190 301","الظاهر","الظاهر","","","editor"
"706","625","190 301","الظاهر","الظاهر","","","editor"
"706","878","190 301","الظاهر","الظاهر","","","editor"
"4140","625","190 301","الظاهر","الظاهر","","","editor"
"4140","878","190 301","الظاهر","الظاهر","","","editor"
"625","878","190 301","الظاهر","الظاهر","","","editor"
"266","809","197","العروة الوثقى","العروة الوثقى","","","editor"
"4039","3824","503","العريس","العريس","","","editor"
"3137","3977","212","القسطاس","القسطاس","1912-02-05","","editor"
"4184","4131","472","الكرمل","الكرمل","1905","","editor"
"872","4157","224","اللواء","اللواء","1900","","editor"
"4170","4171","229","المبشر","المبشر","","","editor"
"4149","4127","240","المحروسة","المحروسة","","","editor"
"4149","1673","240","المحروسة","المحروسة","","","editor"
"4149","635","240","المحروسة","المحروسة","","","editor"
"4149","2823","240","المحروسة","المحروسة","","","editor"
"4127","1673","240","المحروسة","المحروسة","","","editor"
"4127","635","240","المحروسة","المحروسة","","","editor"
"4127","2823","240","المحروسة","المحروسة","","","editor"
"1673","635","240","المحروسة","المحروسة","","","editor"
"1673","2823","240","المحروسة","المحروسة","","","editor"
"635","2823","240","المحروسة","المحروسة","","","editor"
"2833","780","257","المقطم","المقطم","","","editor"
"2833","934","257","المقطم","المقطم","","","editor"
"780","934","257","المقطم","المقطم","","","editor"
"583","592","481","المنتقد","المنتقد","1908-09-10","","editor"
"936","4158","272","النصير","النصير","","","editor"
"936","4145","272","النصير","النصير","","","editor"
"4158","4145","272","النصير","النصير","","","editor"
"2863","4143","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"2863","4120","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"2863","198","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"2863","809","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"2863","4153","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"2863","4104","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"4143","4120","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"4143","198","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"4143","809","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"4143","4153","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"4143","4104","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"4120","198","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"4120","809","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"4120","4153","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"4120","4104","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"198","809","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"198","4153","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"198","4104","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"809","4153","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"809","4104","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"4153","4104","281","الوقائع المصرية","الوقائع المصرية","","","editor"
"391","4173","287","بيروت","بيروت","","","editor"
"3773","2942","498","تنوير الأفكار","تنوير الأفكار","","","editor"
"382","388","546 490","حديقة الاخبار","Ḥadīqat al-Akhbār","1858-01-01","","editor"
"382","380","546 490","حديقة الاخبار","Ḥadīqat al-Akhbār","1858-01-01","","editor"
"388","380","546 490","حديقة الاخبار","Ḥadīqat al-Akhbār","1858-01-01","","editor"
"4151","4166","311","حمص","حمص","1911-08-26","","editor"
"4178","4188","315","دير القمر","دير القمر","1912","","editor"
"282","4168","348","لبنان","لبنان","","","editor"
"720","819","349","لسان الحال","لسان الحال","","","editor"
"720","4144","349","لسان الحال","لسان الحال","","","editor"
"819","4144","349","لسان الحال","لسان الحال","","","editor"
"4154","4107","500","الهداية","الهداية","","","editor"
